source,region,variable,target_period,forecast_date,output_type,output_id,value_native,unit_native,value_qq,declared_target,retrieved_at,source_file
gdpnow,US,rgdp_growth,2011Q3,2011-08-25,point,,0.7063,saar_pct,0.1761,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-08-30,point,,1.4416,saar_pct,0.3585,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-08-31,point,,1.635,saar_pct,0.4063,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-01,point,,1.3882,saar_pct,0.3453,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-02,point,,1.3829,saar_pct,0.3439,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-06,point,,1.3888,saar_pct,0.3454,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-08,point,,2.3451,saar_pct,0.5812,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-09,point,,2.425,saar_pct,0.6008,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-12,point,,2.425,saar_pct,0.6008,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-13,point,,2.5694,saar_pct,0.6363,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-14,point,,2.0401,saar_pct,0.5062,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-15,point,,2.0879,saar_pct,0.5179,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-16,point,,2.0879,saar_pct,0.5179,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-20,point,,2.1233,saar_pct,0.5266,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-21,point,,2.1807,saar_pct,0.5408,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-26,point,,2.1953,saar_pct,0.5444,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-27,point,,2.1982,saar_pct,0.5451,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-28,point,,2.3372,saar_pct,0.5792,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-09-30,point,,2.0989,saar_pct,0.5206,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-03,point,,2.5577,saar_pct,0.6334,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-04,point,,2.5019,saar_pct,0.6197,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-05,point,,2.6169,saar_pct,0.6479,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-07,point,,2.4717,saar_pct,0.6123,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-13,point,,2.5109,saar_pct,0.6219,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-14,point,,2.9599,saar_pct,0.7319,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-17,point,,3.189,saar_pct,0.7879,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-18,point,,3.1414,saar_pct,0.7763,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-19,point,,3.2538,saar_pct,0.8037,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q3,2011-10-20,point,,3.2445,saar_pct,0.8014,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-10-28,point,,2.3145,saar_pct,0.5737,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-01,point,,2.1677,saar_pct,0.5376,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-02,point,,2.326,saar_pct,0.5765,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-03,point,,2.3921,saar_pct,0.5927,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-04,point,,2.5707,saar_pct,0.6366,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-09,point,,3.1495,saar_pct,0.7782,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-10,point,,3.3487,saar_pct,0.8269,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-15,point,,3.6571,saar_pct,0.902,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-16,point,,3.73172847130047,saar_pct,0.9202,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-17,point,,3.66446564257154,saar_pct,0.9038,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-21,point,,3.6557,saar_pct,0.9017,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-22,point,,3.4674,saar_pct,0.8558,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-23,point,,3.2432,saar_pct,0.8011,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-11-28,point,,3.2469,saar_pct,0.802,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-01,point,,3.9822,saar_pct,0.981,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-02,point,,3.9685,saar_pct,0.9777,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-05,point,,4.3805,saar_pct,1.0776,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-08,point,,5.1213,saar_pct,1.2564,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-09,point,,5.7941,saar_pct,1.4181,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-13,point,,5.6256,saar_pct,1.3777,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-15,point,,5.5245,saar_pct,1.3534,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-16,point,,5.5742,saar_pct,1.3653,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-20,point,,5.5979775504811,saar_pct,1.371,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-21,point,,5.62991372526742,saar_pct,1.3787,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2011-12-29,point,,4.9035,saar_pct,1.204,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2012-01-03,point,,5.3271,saar_pct,1.306,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2012-01-09,point,,5.5449,saar_pct,1.3583,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2011Q4,2012-01-10,point,,5.1684,saar_pct,1.2678,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2012Q1,2012-02-03,point,,2.7803,saar_pct,0.6879,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2012Q1,2012-02-09,point,,2.3368,saar_pct,0.5791,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2012Q1,2012-02-10,point,,2.2893,saar_pct,0.5675,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2012Q1,2012-02-14,point,,2.0799,saar_pct,0.516,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
gdpnow,US,rgdp_growth,2012Q1,2012-02-15,point,,2.0772,saar_pct,0.5153,advance,2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
